data	nip	ilosc	cena	suma					
2005-05-02	159-34-45-151	9	2	18					
2005-05-04	715-03-63-213	15	2	30					
2005-05-07	178-24-36-171	444	2	888					
2005-05-07	599-00-55-316	13	2	26					
2005-05-09	392-78-93-552	366	2	732					
2005-05-20	847-48-41-699	259	2	518					
2005-05-21	089-90-67-935	16	2	32					
2005-05-24	378-70-08-798	49	2	98					
2005-05-25	596-37-06-465	3	2	6					
2005-05-25	178-24-36-171	251	2	502					
2005-05-27	534-94-49-182	179	2	358					
2005-05-29	749-02-70-623	116	2	232					
2005-05-29	528-09-83-923	13	2	26					
2005-05-31	590-28-48-646	3	2	6					
2005-05-31	941-01-60-075	253	2	506					
2005-06-07	033-49-11-774	83	2	166					
2005-06-09	269-65-16-447	177	2	354					
2005-06-09	843-22-41-173	7	2	14					
2005-06-10	495-93-92-849	46	2	92					
2005-06-11	662-14-22-719	2	2	4					
2005-06-12	944-16-93-033	9	2	18					
2005-06-14	753-35-55-536	3	2	6					
2005-06-14	322-66-15-999	67	2	134					
2005-06-14	392-78-93-552	425	2	850					
2005-06-15	594-18-15-403	453	2	906					
2005-06-20	178-24-36-171	212	2	424					
2005-06-22	800-16-32-869	19	2	38					
2005-06-23	043-34-53-278	81	2	162					
2005-06-25	126-55-91-375	7	2	14					
2005-06-26	507-22-76-992	179	2	358					
2005-06-28	799-94-72-837	222	2	444					
2005-06-29	531-65-00-714	14	2	28					
2005-07-01	767-55-58-288	15	2	30					
2005-07-03	692-61-16-906	97	2	194					
2005-07-09	910-38-33-489	142	2	284					
2005-07-13	392-78-93-552	214	2	428					
2005-07-13	799-94-72-837	408	2	816					
2005-07-14	904-16-42-385	144	2	288					
2005-07-14	043-34-53-278	173	2	346					
2005-07-16	851-69-49-933	15	2	30					
2005-07-18	941-01-60-075	433	2	866					
2005-07-22	620-15-33-614	137	2	274					
2005-07-25	941-01-60-075	118	2	236					
2005-07-25	847-48-41-699	158	2	316					
2005-07-26	599-00-55-316	13	2	26					
2005-07-27	368-99-22-310	2	2	4					
2005-07-29	941-01-60-075	467	2	934					
2005-07-30	153-24-82-022	9	2	18					
2005-08-03	527-15-00-673	189	2	378					
2005-08-04	178-41-36-927	19	2	38					
2005-08-05	847-48-41-699	172	2	344					
2005-08-06	322-66-15-999	84	2	168					
2005-08-06	284-59-84-568	8	2	16					
2005-08-06	513-33-14-553	66	2	132					
2005-08-07	916-94-78-836	35	2	70					
2005-08-08	534-94-49-182	91	2	182					
2005-08-13	254-14-00-156	396	2	792					
2005-08-13	982-09-19-706	6	2	12					
2005-08-15	378-70-08-798	47	2	94					
2005-08-17	080-51-85-809	41	2	82					
2005-08-18	884-31-58-627	136	2	272					
2005-08-19	047-70-78-199	16	2	32					
2005-08-21	300-07-32-070	18	2	36					
2005-08-25	340-11-17-090	11	2	22					
2005-08-25	970-73-69-415	8	2	16					
2005-08-25	740-87-37-389	16	2	32					
2005-08-25	378-70-08-798	54	2	108					
2005-08-26	941-01-60-075	299	2	598					
2005-08-28	513-33-14-553	168	2	336					
2005-08-29	847-48-41-699	106	2	212					
2005-08-30	904-16-42-385	41	2	82					
2005-08-30	761-06-34-233	31	2	62					
2005-09-01	053-79-35-388	8	2	16					
2005-09-04	080-51-85-809	63	2	126					
2005-09-07	594-18-15-403	368	2	736					
2005-09-08	773-39-15-273	106	2	212					
2005-09-09	885-74-10-856	47	2	94					
2005-09-09	941-01-60-075	447	2	894					
2005-09-10	513-33-14-553	106	2	212					
2005-09-11	314-76-34-892	13	2	26					
2005-09-11	495-93-92-849	89	2	178					
2005-09-11	935-78-99-209	105	2	210					
2005-09-11	254-14-00-156	147	2	294					
2005-09-13	847-48-41-699	309	2	618					
2005-09-15	378-70-08-798	47	2	94					
2005-09-17	941-01-60-075	404	2	808					
2005-09-17	936-67-95-170	39	2	78					
2005-09-17	904-16-42-385	61	2	122					
2005-09-20	527-15-00-673	89	2	178					
2005-09-22	033-49-11-774	127	2	254					
2005-09-25	269-65-16-447	81	2	162					
2005-09-28	392-78-93-552	433	2	866					
2005-09-28	847-48-41-699	284	2	568					
2005-09-29	043-34-53-278	122	2	244					
2005-10-01	936-67-95-170	193	2	386					
2005-10-03	378-70-08-798	118	2	236					
2005-10-04	594-18-15-403	173	2	346					
2005-10-07	178-24-36-171	392	2	784					
2005-10-08	351-06-97-406	8	2	16					
2005-10-13	378-70-08-798	132	2	264					
2005-10-13	885-74-10-856	76	2	152					
2005-10-14	530-86-39-445	17	2	34					
2005-10-15	054-09-46-315	17	2	34					
2005-10-18	014-02-05-290	2	2	4					
2005-10-20	080-51-85-809	125	2	250					
2005-10-21	941-01-60-075	234	2	468					
2005-10-27	513-33-14-553	53	2	106					
2005-10-28	916-94-78-836	165	2	330					
2005-10-28	749-02-70-623	177	2	354					
2005-10-30	269-65-16-447	103	2	206					
2005-11-01	900-85-70-552	2	2	4					
2005-11-01	847-48-41-699	279	2	558					
2005-11-06	534-94-49-182	185	2	370					
2005-11-07	254-14-00-156	434	2	868					
2005-11-11	954-85-72-732	10	2	20					
2005-11-13	804-82-65-826	9	2	18					
2005-11-14	337-27-67-378	383	2	766					
2005-11-14	534-94-49-182	189	2	378					
2005-11-16	904-16-42-385	161	2	322					
2005-11-16	620-15-33-614	115	2	230					
2005-11-18	513-33-14-553	58	2	116					
2005-11-18	277-10-19-546	16	2	32					
2005-11-19	662-14-22-719	17	2	34					
2005-11-20	594-18-15-403	177	2	354					
2005-11-21	773-39-15-273	33	2	66					
2005-11-24	269-65-16-447	60	2	120					
2005-11-26	140-36-11-559	8	2	16					
2005-12-01	847-48-41-699	317	2	634					
2005-12-03	403-50-07-403	3	2	6					
2005-12-05	182-72-86-381	16	2	32					
2005-12-14	153-24-82-022	2	2	4					
2005-12-19	749-02-70-623	161	2	322					
2005-12-22	916-94-78-836	187	2	374					
2005-12-22	296-66-33-717	17	2	34					
2005-12-23	550-69-18-758	5	2	10					
2005-12-25	662-14-22-719	10	2	20					
2005-12-25	799-94-72-837	225	2	450					
2005-12-30	413-93-89-926	367	2	734					
2006-01-04	799-94-72-837	295	2,05	604,75					
2006-01-08	322-66-15-999	26	2,05	53,3					
2006-01-08	015-89-55-248	16	2,05	32,8					
2006-01-12	847-48-41-699	165	2,05	338,25					
2006-01-12	824-54-79-834	20	2,05	41					
2006-01-17	029-43-78-009	2	2,05	4,1					
2006-01-17	172-30-09-104	7	2,05	14,35					
2006-01-17	665-06-94-730	7	2,05	14,35					
2006-01-17	773-39-15-273	72	2,05	147,6					
2006-01-18	884-31-58-627	59	2,05	120,95					
2006-01-19	392-78-93-552	212	2,05	434,6					
2006-01-24	413-93-89-926	195	2,05	399,75					
2006-01-24	126-55-91-375	16	2,05	32,8					
2006-01-28	904-16-42-385	187	2,05	383,35					
2006-02-03	413-93-89-926	369	2,05	756,45					
2006-02-06	968-49-97-804	190	2,05	389,5					
2006-02-06	799-94-72-837	453	2,05	928,65					
2006-02-06	178-24-36-171	223	2,05	457,15					
2006-02-07	368-99-22-310	1	2,05	2,05					
2006-02-09	322-66-15-999	170	2,05	348,5					
2006-02-09	804-82-65-826	19	2,05	38,95					
2006-02-09	413-93-89-926	464	2,05	951,2					
2006-02-13	254-14-00-156	230	2,05	471,5					
2006-02-17	847-48-41-699	387	2,05	793,35					
2006-02-18	392-78-93-552	264	2,05	541,2					
2006-02-19	269-65-16-447	163	2,05	334,15					
2006-02-20	205-96-13-336	14	2,05	28,7					
2006-02-21	884-31-58-627	98	2,05	200,9					
2006-03-04	325-70-30-985	16	2,05	32,8					
2006-03-04	294-48-56-993	80	2,05	164					
2006-03-08	761-06-34-233	127	2,05	260,35					
2006-03-10	080-51-85-809	170	2,05	348,5					
2006-03-11	692-61-16-906	28	2,05	57,4					
2006-03-12	374-01-18-051	12	2,05	24,6					
2006-03-14	985-21-38-706	10	2,05	20,5					
2006-03-15	534-94-49-182	65	2,05	133,25					
2006-03-16	967-21-71-491	17	2,05	34,85					
2006-03-16	847-48-41-699	262	2,05	537,1					
2006-03-16	430-67-31-549	20	2,05	41					
2006-03-25	254-14-00-156	224	2,05	459,2					
2006-04-01	495-93-92-849	199	2,05	407,95					
2006-04-06	534-94-49-182	70	2,05	143,5					
2006-04-08	995-59-41-476	171	2,05	350,55					
2006-04-08	162-82-16-285	1	2,05	2,05					
2006-04-10	824-54-79-834	13	2,05	26,65					
2006-04-11	847-48-41-699	293	2,05	600,65					
2006-04-11	277-10-19-546	11	2,05	22,55					
2006-04-13	941-01-60-075	162	2,05	332,1					
2006-04-14	507-22-76-992	187	2,05	383,35					
2006-04-15	269-65-16-447	192	2,05	393,6					
2006-04-17	337-27-67-378	127	2,05	260,35					
2006-04-19	847-48-41-699	198	2,05	405,9					
2006-04-19	963-43-52-686	4	2,05	8,2					
2006-04-19	413-93-89-926	110	2,05	225,5					
2006-04-19	269-65-16-447	123	2,05	252,15					
2006-04-20	527-15-00-673	159	2,05	325,95					
2006-04-21	194-54-73-711	19	2,05	38,95					
2006-04-27	178-24-36-171	289	2,05	592,45					
2006-04-27	033-49-11-774	136	2,05	278,8					
2006-05-08	410-52-79-946	41	2,05	84,05					
2006-05-09	392-78-93-552	385	2,05	789,25					
2006-05-10	781-80-31-583	17	2,05	34,85					
2006-05-10	347-48-90-739	20	2,05	41					
2006-05-14	050-38-86-889	19	2,05	38,95					
2006-05-15	715-03-63-213	13	2,05	26,65					
2006-05-16	325-70-30-985	13	2,05	26,65					
2006-05-18	936-67-95-170	168	2,05	344,4					
2006-05-18	164-61-25-530	18	2,05	36,9					
2006-05-18	799-94-72-837	131	2,05	268,55					
2006-05-19	178-24-36-171	187	2,05	383,35					
2006-05-20	337-27-67-378	412	2,05	844,6					
2006-05-22	043-34-53-278	40	2,05	82					
2006-05-23	916-94-78-836	166	2,05	340,3					
2006-05-24	527-15-00-673	173	2,05	354,65					
2006-05-25	561-00-46-873	2	2,05	4,1					
2006-05-25	531-41-11-525	18	2,05	36,9					
2006-05-26	423-71-31-448	15	2,05	30,75					
2006-05-27	995-59-41-476	243	2,05	498,15					
2006-05-28	413-93-89-926	460	2,05	943					
2006-05-28	192-09-72-275	8	2,05	16,4					
2006-05-29	885-74-10-856	150	2,05	307,5					
2006-05-30	495-93-92-849	72	2,05	147,6					
2006-05-30	847-48-41-699	217	2,05	444,85					
2006-06-02	761-06-34-233	164	2,05	336,2					
2006-06-02	392-78-93-552	429	2,05	879,45					
2006-06-07	885-74-10-856	63	2,05	129,15					
2006-06-10	534-94-49-182	106	2,05	217,3					
2006-06-18	178-24-36-171	136	2,05	278,8					
2006-06-19	994-52-74-352	7	2,05	14,35					
2006-06-28	904-16-42-385	114	2,05	233,7					
2006-06-28	940-29-78-846	12	2,05	24,6					
2006-07-04	847-48-41-699	443	2,05	908,15					
2006-07-06	495-93-92-849	73	2,05	149,65					
2006-07-09	244-64-83-142	15	2,05	30,75					
2006-07-09	316-37-00-316	9	2,05	18,45					
2006-07-10	211-13-01-286	20	2,05	41					
2006-07-12	982-37-73-633	9	2,05	18,45					
2006-07-13	950-40-82-698	88	2,05	180,4					
2006-07-13	254-14-00-156	139	2,05	284,95					
2006-07-14	178-24-36-171	346	2,05	709,3					
2006-07-20	430-90-28-407	3	2,05	6,15					
2006-07-20	035-32-41-072	9	2,05	18,45					
2006-07-20	847-48-41-699	323	2,05	662,15					
2006-07-21	995-59-41-476	382	2,05	783,1					
2006-07-25	413-93-89-926	296	2,05	606,8					
2006-07-26	594-18-15-403	121	2,05	248,05					
2006-07-26	410-52-79-946	157	2,05	321,85					
2006-07-28	847-48-41-699	497	2,05	1018,85					
2006-07-29	847-48-41-699	103	2,05	211,15					
2006-07-30	534-94-49-182	142	2,05	291,1					
2006-07-31	033-49-11-774	144	2,05	295,2					
2006-08-02	967-21-71-491	8	2,05	16,4					
2006-08-07	322-66-15-999	172	2,05	352,6					
2006-08-11	254-14-00-156	290	2,05	594,5					
2006-08-13	799-94-72-837	422	2,05	865,1					
2006-08-16	164-61-25-530	12	2,05	24,6					
2006-08-19	322-66-15-999	104	2,05	213,2					
2006-08-20	968-49-97-804	97	2,05	198,85					
2006-08-21	294-48-56-993	179	2,05	366,95					
2006-08-24	941-01-60-075	256	2,05	524,8					
2006-08-25	192-09-72-275	20	2,05	41					
2006-08-25	194-54-73-711	10	2,05	20,5					
2006-08-26	254-14-00-156	407	2,05	834,35					
2006-08-27	178-24-36-171	297	2,05	608,85					
2006-08-27	884-31-58-627	133	2,05	272,65					
2006-08-27	968-49-97-804	33	2,05	67,65					
2006-08-30	799-94-72-837	220	2,05	451					
2006-08-30	378-70-08-798	114	2,05	233,7					
2006-09-02	885-74-10-856	130	2,05	266,5					
2006-09-02	534-94-49-182	52	2,05	106,6					
2006-09-02	378-70-08-798	33	2,05	67,65					
2006-09-03	692-61-16-906	57	2,05	116,85					
2006-09-05	115-65-39-258	190	2,05	389,5					
2006-09-05	900-85-70-552	8	2,05	16,4					
2006-09-05	254-14-00-156	255	2,05	522,75					
2006-09-07	884-31-58-627	108	2,05	221,4					
2006-09-11	269-65-16-447	78	2,05	159,9					
2006-09-12	254-14-00-156	364	2,05	746,2					
2006-09-13	527-15-00-673	52	2,05	106,6					
2006-09-14	995-59-41-476	343	2,05	703,15					
2006-09-16	495-93-92-849	197	2,05	403,85					
2006-09-17	609-57-46-753	4	2,05	8,2					
2006-09-18	373-76-82-865	8	2,05	16,4					
2006-09-18	800-16-32-869	11	2,05	22,55					
2006-09-18	047-70-78-199	10	2,05	20,5					
2006-09-21	692-61-16-906	96	2,05	196,8					
2006-09-21	322-66-15-999	30	2,05	61,5					
2006-09-22	080-77-49-649	17	2,05	34,85					
2006-09-25	035-32-41-072	17	2,05	34,85					
2006-09-25	904-16-42-385	180	2,05	369					
2006-09-25	935-78-99-209	94	2,05	192,7					
2006-09-26	761-06-34-233	45	2,05	92,25					
2006-09-27	254-14-00-156	380	2,05	779					
2006-09-27	715-03-63-213	5	2,05	10,25					
2006-10-01	916-94-78-836	170	2,05	348,5					
2006-10-05	392-78-93-552	198	2,05	405,9					
2006-10-08	413-93-89-926	283	2,05	580,15					
2006-10-11	115-65-39-258	42	2,05	86,1					
2006-10-13	043-34-53-278	163	2,05	334,15					
2006-10-19	413-93-89-926	115	2,05	235,75					
2006-10-24	884-31-58-627	75	2,05	153,75					
2006-10-25	392-78-93-552	403	2,05	826,15					
2006-10-29	413-93-89-926	465	2,05	953,25					
2006-10-31	043-34-53-278	194	2,05	397,7					
2006-10-31	513-33-14-553	122	2,05	250,1					
2006-10-31	080-51-85-809	186	2,05	381,3					
2006-11-05	904-16-42-385	137	2,05	280,85					
2006-11-08	314-76-34-892	10	2,05	20,5					
2006-11-11	941-01-60-075	437	2,05	895,85					
2006-11-13	903-82-46-998	20	2,05	41					
2006-11-14	799-94-72-837	108	2,05	221,4					
2006-11-19	916-94-78-836	62	2,05	127,1					
2006-11-19	254-14-00-156	426	2,05	873,3					
2006-11-22	392-78-93-552	303	2,05	621,15					
2006-11-23	872-13-44-365	20	2,05	41					
2006-11-26	847-48-41-699	237	2,05	485,85					
2006-11-27	033-49-11-774	151	2,05	309,55					
2006-11-28	970-87-50-317	6	2,05	12,3					
2006-12-01	043-34-53-278	124	2,05	254,2					
2006-12-03	562-39-79-929	7	2,05	14,35					
2006-12-04	473-30-19-947	7	2,05	14,35					
2006-12-06	392-78-93-552	105	2,05	215,25					
2006-12-07	513-33-14-553	58	2,05	118,9					
2006-12-07	179-23-02-772	182	2,05	373,1					
2006-12-09	941-01-60-075	163	2,05	334,15					
2006-12-09	958-71-87-898	14	2,05	28,7					
2006-12-10	281-47-91-148	4	2,05	8,2					
2006-12-11	554-09-13-964	13	2,05	26,65					
2006-12-12	254-14-00-156	422	2,05	865,1					
2006-12-13	054-09-46-315	6	2,05	12,3					
2006-12-18	424-70-61-569	15	2,05	30,75					
2006-12-19	534-94-49-182	168	2,05	344,4					
2006-12-21	941-01-60-075	193	2,05	395,65					
2006-12-27	194-54-73-711	15	2,05	30,75					
2006-12-28	033-49-11-774	27	2,05	55,35					
2006-12-29	033-49-11-774	116	2,05	237,8					
2006-12-30	692-61-16-906	21	2,05	43,05					
2006-12-30	033-49-11-774	61	2,05	125,05					
2006-12-30	413-93-89-926	458	2,05	938,9					
2006-12-31	170-89-76-803	19	2,05	38,95					
2007-01-02	322-66-15-999	81	2,09	169,29					
2007-01-03	269-65-16-447	86	2,09	179,74					
2007-01-04	254-14-00-156	142	2,09	296,78					
2007-01-10	413-93-89-926	459	2,09	959,31					
2007-01-11	377-37-44-068	20	2,09	41,8					
2007-01-13	392-78-93-552	245	2,09	512,05					
2007-01-13	967-21-71-491	19	2,09	39,71					
2007-01-14	749-02-70-623	159	2,09	332,31					
2007-01-15	033-49-11-774	99	2,09	206,91					
2007-01-17	178-24-36-171	213	2,09	445,17					
2007-01-24	799-94-72-837	349	2,09	729,41					
2007-01-27	413-93-89-926	114	2,09	238,26					
2007-01-27	961-86-77-989	12	2,09	25,08					
2007-01-29	985-21-38-706	12	2,09	25,08					
2007-02-04	904-16-42-385	132	2,09	275,88					
2007-02-07	033-49-11-774	197	2,09	411,73					
2007-02-07	045-63-27-114	5	2,09	10,45					
2007-02-07	941-01-60-075	403	2,09	842,27					
2007-02-08	749-02-70-623	200	2,09	418					
2007-02-11	513-33-14-553	23	2,09	48,07					
2007-02-18	392-78-93-552	337	2,09	704,33					
2007-02-19	594-18-15-403	500	2,09	1045					
2007-02-19	182-72-86-381	9	2,09	18,81					
2007-02-21	179-23-02-772	39	2,09	81,51					
2007-02-26	773-39-15-273	156	2,09	326,04					
2007-02-27	413-93-89-926	258	2,09	539,22					
2007-02-27	824-54-79-834	14	2,09	29,26					
2007-03-01	904-16-42-385	91	2,09	190,19					
2007-03-08	904-16-42-385	68	2,09	142,12					
2007-03-09	447-16-72-588	13	2,09	27,17					
2007-03-11	378-70-08-798	118	2,09	246,62					
2007-03-13	410-52-79-946	54	2,09	112,86					
2007-03-17	434-21-90-566	10	2,09	20,9					
2007-03-21	941-01-60-075	339	2,09	708,51					
2007-03-22	534-94-49-182	80	2,09	167,2					
2007-03-24	178-24-36-171	431	2,09	900,79					
2007-03-26	941-01-60-075	268	2,09	560,12					
2007-03-26	178-24-36-171	440	2,09	919,6					
2007-03-26	594-18-15-403	396	2,09	827,64					
2007-03-26	269-65-16-447	157	2,09	328,13					
2007-03-30	904-16-42-385	194	2,09	405,46					
2007-03-31	761-06-34-233	156	2,09	326,04					
2007-04-01	423-71-31-448	11	2,09	22,99					
2007-04-02	968-49-97-804	110	2,09	229,9					
2007-04-04	865-19-31-951	12	2,09	25,08					
2007-04-05	594-18-15-403	464	2,09	969,76					
2007-04-06	527-15-00-673	40	2,09	83,6					
2007-04-07	761-06-34-233	52	2,09	108,68					
2007-04-12	970-73-69-415	12	2,09	25,08					
2007-04-14	254-14-00-156	412	2,09	861,08					
2007-04-16	413-93-89-926	268	2,09	560,12					
2007-04-16	254-14-00-156	495	2,09	1034,55					
2007-04-16	968-49-97-804	30	2,09	62,7					
2007-04-19	043-34-53-278	67	2,09	140,03					
2007-04-25	799-94-72-837	497	2,09	1038,73					
2007-04-28	178-24-36-171	102	2,09	213,18					
2007-05-01	254-14-00-156	322	2,09	672,98					
2007-05-02	847-48-41-699	297	2,09	620,73					
2007-05-04	904-16-42-385	179	2,09	374,11					
2007-05-06	822-52-42-474	15	2,09	31,35					
2007-05-08	692-61-16-906	65	2,09	135,85					
2007-05-10	254-14-00-156	297	2,09	620,73					
2007-05-12	885-74-10-856	131	2,09	273,79					
2007-05-13	385-84-45-941	12	2,09	25,08					
2007-05-13	269-65-16-447	114	2,09	238,26					
2007-05-16	799-94-72-837	293	2,09	612,37					
2007-05-18	773-41-40-060	18	2,09	37,62					
2007-05-18	080-51-85-809	186	2,09	388,74					
2007-05-21	378-70-08-798	119	2,09	248,71					
2007-05-25	473-30-19-947	4	2,09	8,36					
2007-05-28	799-94-72-837	415	2,09	867,35					
2007-05-28	775-48-66-885	10	2,09	20,9					
2007-05-28	269-65-16-447	159	2,09	332,31					
2007-05-29	413-93-89-926	140	2,09	292,6					
2007-06-06	080-51-85-809	128	2,09	267,52					
2007-06-14	429-16-50-754	9	2,09	18,81					
2007-06-14	413-93-89-926	121	2,09	252,89					
2007-06-15	799-94-72-837	169	2,09	353,21					
2007-06-17	322-66-15-999	118	2,09	246,62					
2007-06-17	773-39-15-273	37	2,09	77,33					
2007-06-20	968-49-97-804	198	2,09	413,82					
2007-06-21	378-70-08-798	74	2,09	154,66					
2007-06-26	275-38-81-341	18	2,09	37,62					
2007-06-30	337-27-67-378	291	2,09	608,19					
2007-07-07	847-48-41-699	208	2,09	434,72					
2007-07-07	594-18-15-403	354	2,09	739,86					
2007-07-14	410-52-79-946	113	2,09	236,17					
2007-07-15	295-31-73-319	3	2,09	6,27					
2007-07-15	392-78-93-552	446	2,09	932,14					
2007-07-15	430-90-28-407	9	2,09	18,81					
2007-07-19	941-01-60-075	445	2,09	930,05					
2007-07-20	513-33-14-553	47	2,09	98,23					
2007-07-21	240-56-56-791	14	2,09	29,26					
2007-07-26	916-94-78-836	187	2,09	390,83					
2007-07-27	392-78-93-552	355	2,09	741,95					
2007-07-28	940-29-78-846	6	2,09	12,54					
2007-07-29	284-59-84-568	18	2,09	37,62					
2007-07-31	884-31-58-627	111	2,09	231,99					
2007-07-31	885-74-10-856	156	2,09	326,04					
2007-08-01	392-78-93-552	396	2,09	827,64					
2007-08-05	767-55-58-288	7	2,09	14,63					
2007-08-07	322-66-15-999	98	2,09	204,82					
2007-08-09	392-78-93-552	405	2,09	846,45					
2007-08-11	254-14-00-156	220	2,09	459,8					
2007-08-12	534-94-49-182	141	2,09	294,69					
2007-08-13	182-72-86-381	17	2,09	35,53					
2007-08-13	847-48-41-699	260	2,09	543,4					
2007-08-14	982-37-73-633	11	2,09	22,99					
2007-08-18	495-93-92-849	182	2,09	380,38					
2007-08-20	916-94-78-836	59	2,09	123,31					
2007-08-21	527-15-00-673	45	2,09	94,05					
2007-08-21	740-87-37-389	3	2,09	6,27					
2007-08-23	692-61-16-906	52	2,09	108,68					
2007-08-23	178-24-36-171	373	2,09	779,57					
2007-08-24	962-06-61-806	2	2,09	4,18					
2007-08-24	337-27-67-378	445	2,09	930,05					
2007-08-25	495-93-92-849	93	2,09	194,37					
2007-08-30	178-24-36-171	329	2,09	687,61					
2007-09-01	178-24-36-171	217	2,09	453,53					
2007-09-01	269-65-16-447	165	2,09	344,85					
2007-09-02	176-54-34-364	20	2,09	41,8					
2007-09-03	019-98-81-222	11	2,09	22,99					
2007-09-04	799-94-72-837	294	2,09	614,46					
2007-09-06	904-16-42-385	82	2,09	171,38					
2007-09-06	033-49-11-774	186	2,09	388,74					
2007-09-08	749-02-70-623	163	2,09	340,67					
2007-09-08	534-94-49-182	148	2,09	309,32					
2007-09-09	377-37-44-068	2	2,09	4,18					
2007-09-11	178-24-36-171	343	2,09	716,87					
2007-09-11	884-31-58-627	51	2,09	106,59					
2007-09-14	749-02-70-623	164	2,09	342,76					
2007-09-14	645-32-78-780	5	2,09	10,45					
2007-09-15	254-14-00-156	260	2,09	543,4					
2007-09-15	847-48-41-699	415	2,09	867,35					
2007-09-16	847-48-41-699	467	2,09	976,03					
2007-09-16	692-61-16-906	43	2,09	89,87					
2007-09-17	885-74-10-856	40	2,09	83,6					
2007-09-19	964-69-89-011	10	2,09	20,9					
2007-09-20	847-48-41-699	197	2,09	411,73					
2007-09-23	773-39-15-273	145	2,09	303,05					
2007-09-24	322-66-15-999	105	2,09	219,45					
2007-09-25	916-94-78-836	33	2,09	68,97					
2007-09-25	950-40-82-698	78	2,09	163,02					
2007-09-26	847-48-41-699	466	2,09	973,94					
2007-09-29	392-78-93-552	476	2,09	994,84					
2007-10-02	080-51-85-809	151	2,09	315,59					
2007-10-02	163-92-64-010	17	2,09	35,53					
2007-10-06	585-26-73-628	4	2,09	8,36					
2007-10-16	594-18-15-403	131	2,09	273,79					
2007-10-16	337-27-67-378	369	2,09	771,21					
2007-10-16	179-23-02-772	60	2,09	125,4					
2007-10-20	413-93-89-926	405	2,09	846,45					
2007-10-21	396-32-41-555	3	2,09	6,27					
2007-10-25	773-39-15-273	35	2,09	73,15					
2007-10-27	941-01-60-075	444	2,09	927,96					
2007-10-27	392-78-93-552	424	2,09	886,16					
2007-10-27	736-91-47-235	2	2,09	4,18					
2007-10-30	413-93-89-926	480	2,09	1003,2					
2007-10-31	916-94-78-836	65	2,09	135,85					
2007-11-02	403-50-07-403	8	2,09	16,72					
2007-11-03	495-93-92-849	52	2,09	108,68					
2007-11-06	377-37-44-068	8	2,09	16,72					
2007-11-07	254-14-00-156	143	2,09	298,87					
2007-11-08	269-65-16-447	20	2,09	41,8					
2007-11-11	799-94-72-837	396	2,09	827,64					
